entry_id,split,arm,N,seq_len,n_active_mapped,n_labels_mapped,n_pos,auc_quantum,hit@5,hit@10,prec@5,mwu_p,auc_quantum_distmatched,auc_dist_baseline,delta_dm_vs_chance,auc_flux_lap_dm,auc_flux_current_lap_dm,auc_flux_adj_dm,auc_chi_dm,hit@5_flux_lap,hit@10_flux_lap,hit@5_flux_current_lap,hit@10_flux_current_lap,delta_flux_vs_dist,auc_comm_dm,auc_qsw_p1_dm,auc_qsw_p0_dm,auc_degree_dm,delta_quantum_vs_classical_dm,auc_comm,auc_degree,auc_random,runtime_sec,krylov_K
1IE4_T44_A128,train,chiral,120,147,3,6,0,,0,0,0.0,,,,,,,,,0,0,0,0,,,,,,,,,,11.66,32
4B1F_KRH_A1256,train,chiral,255,255,10,14,8,0.5483668341708543,0,1,0.0,0.3255011193297966,0.4396984924623115,0.7399497487437185,-0.06030150753768848,0.3498743718592965,0.7022613065326633,0.6036432160804021,0.25439698492462315,0,0,0,0,-0.15012562814070352,0.3184673366834171,0.3103015075376885,0.27449748743718594,0.23241206030150754,0.12123115577889443,0.5603015075376885,0.3558417085427136,0.47927135678391963,11.03,32
3MWB_PHE_B311,train,chiral,305,310,3,10,10,0.3597122302158274,0,0,0.0,0.9343732946880106,0.7107913669064748,0.13956834532374102,0.21079136690647482,0.7176258992805755,0.42500000000000004,0.2904676258992806,0.758273381294964,0,0,0,1,0.21762589928057552,0.3276978417266187,0.573021582733813,0.5071942446043165,0.5136690647482014,0.13776978417266184,0.10827338129496401,0.45053956834532377,0.516906474820144,11.91,32
2RD5_ARG_A1000,train,chiral,282,347,29,12,1,0.8113207547169812,0,0,0.0,0.1937500000000001,0.5723270440251572,0.8553459119496856,0.07232704402515722,0.6540880503144655,1.0,0.35220125786163525,0.5660377358490566,0,0,0,0,0.15408805031446549,0.12578616352201255,0.0,0.012578616352201255,0.21383647798742134,0.3584905660377359,0.4716981132075472,0.279874213836478,0.779874213836478,12.1,32
4KZT_ARG_A501,train,chiral,432,441,6,14,14,0.510799545282304,0,0,0.0,0.445883100567715,0.3385752178855627,0.6295945433876469,-0.16142478211443728,0.537324744221296,0.43444486547934824,0.46779082985979537,0.36926866237211065,0,0,0,0,0.03732474422129595,0.42762410003789314,0.6059113300492611,0.5744600227358848,0.6551724137931034,-0.3165971959075407,0.6436150056839711,0.6210685865858281,0.682644941265631,10.62,32
5J5S_6G3_A601,train,chiral,258,533,11,34,18,0.7886243386243387,0,1,0.0,2.45102208704413e-05,0.6124338624338624,0.8404761904761904,0.11243386243386244,0.45502645502645506,0.6817460317460318,0.4833333333333334,0.5933862433862434,1,1,0,0,-0.04497354497354494,0.5294973544973545,0.3148148148148148,0.31507936507936507,0.4791005291005291,0.08293650793650797,0.8128306878306878,0.6013227513227514,0.4939153439153439,10.65,32
1M8P_PPS_A574,train,chiral,573,572,10,18,18,0.17201484392054137,0,0,0.0,0.9999988973577975,0.4818816852215674,0.08535254311285746,-0.01811831477843262,0.8199083169613622,0.30108055009823187,0.20333988212180745,0.5205195372189478,0,0,1,1,0.31990831696136224,0.42916393800480246,0.6941715782580222,0.6810740013097578,0.4669286182056319,-0.21228989303645485,0.0741104562322637,0.4167758131412355,0.4805719275267408,10.14,32
4OFG_PCG_A601,train,chiral,142,853,0,23,23,0.5,0,1,0.0,1.0,0.5,0.5,0.0,0.5,0.7621483375959079,0.5,0.31384727804165147,0,1,0,1,0.0,0.5,0.22944830105955424,0.22981366459627328,0.5407380343441724,-0.04073803434417245,0.5,0.5407380343441724,0.4548776032151991,7.79,32
2Y0P_ACO_A2228,train,chiral,847,1227,10,18,18,0.3230880230880231,0,0,0.0,0.9949017191396261,0.3917027417027417,0.3172438672438673,-0.10829725829725828,0.30360750360750366,0.4676767676767677,0.6447330447330447,0.37323232323232325,0,0,0,0,-0.19639249639249634,0.41933621933621934,0.5391774891774892,0.548917748917749,0.41562049062049067,-0.14747474747474748,0.30548340548340547,0.3805916305916306,0.49610389610389616,7.44,32
1YV3_BIT_A800,train,chiral,703,2116,13,16,10,0.746046511627907,0,0,0.0,0.003772627381898896,0.46744186046511627,0.8995348837209303,-0.032558139534883734,0.40201550387596896,0.37054263565891477,0.6956589147286821,0.466046511627907,0,0,0,0,-0.09798449612403104,0.6848062015503876,0.6257364341085272,0.5640310077519379,0.36891472868217057,-0.21736434108527136,0.8824806201550388,0.4317829457364341,0.6137984496124032,10.08,32
